Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.32752,-0.0028149,0.16392,0,0,0,41.83,0.35581,-0.00042322,0.0089393,1.5268,-0.00022991,1.6022,0,0,0,0,0,0,package://tomato_car/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://tomato_car/meshes/base_link.STL,,装配体1^总车2-1/car-2;mid-360-asm(1)-1;雷达底座(1)-1;奥比中光-2;雷达增高架(1)-1;转向角码-4;转向角码-3;转向角码-1;连接件-1;机械臂升降台连接件-1;框架-1;中控机-1;转向角码-2;升降台-1,0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
frot_right_wheel_link,7.9717E-07,-0.0031072,-4.9001E-07,0,0,0,1.4097,0.0068422,-2.974E-09,2.9632E-07,0.012971,-2.6621E-09,0.0068424,0,0,0,0,0,0,package://tomato_car/meshes/frot_right_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://tomato_car/meshes/frot_right_wheel_link.STL,,装配体1^总车2-1/right_f-1,r1,right1,frot_right_wheel_joint,continuous,0.6,-0.25872,-1.3111E-05,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
frot_left_wheel_link,7.1211E-07,0.0035556,-6.725E-07,0,0,0,1.4097,0.0068419,-1.6285E-09,-1.4286E-08,0.01297,-2.8534E-09,0.0068423,0,0,0,0,0,0,package://tomato_car/meshes/frot_left_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://tomato_car/meshes/frot_left_wheel_link.STL,,装配体1^总车2-1/left_f-1,l1,left1,frot_left_wheel_joint,continuous,0.6,0.25872,-1.3105E-05,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
behind_right_wheel_link,-1.5435E-07,0.00024385,-4.6755E-07,0,0,0,2.6029,0.0091142,1.6802E-09,-4.0466E-07,0.016524,1.4371E-07,0.0091145,0,0,0,0,0,0,package://tomato_car/meshes/behind_right_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://tomato_car/meshes/behind_right_wheel_link.STL,,装配体1^总车2-1/right_b-1,r2,right2,behind_right_wheel_joint,continuous,0,-0.25872,0,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
behind_left_wheel_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://tomato_car/meshes/behind_left_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://tomato_car/meshes/behind_left_wheel_link.STL,,装配体1^总车2-1/left_b-1,l2,left2,behind_left_wheel_joint,continuous,0,0.25872,0,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
