Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00975190087285574,5.34726129873926E-05,0.0410165234196948,0,0,0,0.162290652295194,0.000160479830657069,2.07749341071195E-07,7.30880977055225E-06,0.000177543818126594,2.64353979929137E-07,0.000196275790067587,0,0,0,0,0,0,package://piper_description/meshes/base_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://piper_description/meshes/base_link.STL,,J12-1,坐标系base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.000375551090544178,0.00112088387102302,0.025926439061327,0,0,0,0.106878894462235,9.22238471272475E-05,2.34302850415048E-07,2.47717336872312E-07,7.78829507845198E-05,2.61560177110062E-06,8.34708313944142E-05,0,0,0,0,0,0,package://piper_description/meshes/link1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://piper_description/meshes/link1.STL,,J22__-1,1,基准轴1,joint1,revolute,0,0,0.08595,0,0,0,base_link,0,0,1,100,5,-2.618,2.618,,,,,,,,
link2,0.150518491992277,-0.000547924417337114,-0.0250920255693357,0,0,0,0.203932846071332,0.000232128709565741,-7.6139452556297E-05,-4.23018844728719E-06,0.0016987612964322,-6.76991359522416E-06,0.00162743101884687,0,0,0,0,0,0,package://piper_description/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://piper_description/meshes/link2.STL,,2____2-1,2,基准轴2,joint2,revolute,0,0.03275,0.035,1.5708,0,3.1416,link1,0,0,1,100,5,0,3.14,,,,,,,,
link3,-0.102045660243796,-0.024114542066025,0.0323164387579708,0,0,0,0.259293309425469,9.72940928229208E-05,-1.52464407164653E-05,-9.99813206259304E-07,0.000182575130849435,-5.84421248528308E-07,0.000209232673676098,0,0,0,0,0,0,package://piper_description/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://piper_description/meshes/link3.STL,,3____2-1,3,基准轴3,joint3,revolute,0.28358,0.028726,0,-3.1416,0,0,link2,0,0,1,100,5,0,2.967,,,,,,,,
link4,0.000201744435594647,0.00107635864162487,0.0312093093757311,0,0,0,0.1207071468194,3.66188721202737E-05,-4.38560672722882E-08,4.65263091874631E-08,4.59015964823145E-05,6.84949419456508E-08,3.90050566107364E-05,0,0,0,0,0,0,package://piper_description/meshes/link4.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://piper_description/meshes/link4.STL,,J42-1,4,基准轴4,joint4,revolute,-0.21102,-0.040531,0.03275,1.5708,0,-1.4835,link3,0,0,1,100,5,-1.745,1.745,,,,,,,,
link5,4.0273336060076E-05,-0.0573381961330994,-0.0201925080862555,0,0,0,0.136390779513211,0.000120317058116666,-2.87236059393685E-07,4.25662222687394E-08,6.55779819252321E-05,-2.42652201460275E-05,0.000114207201784563,0,0,0,0,0,0,package://piper_description/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://piper_description/meshes/link5.STL,,J52-1,5,基准轴5,joint5,revolute,0,0.02392,0.036,-1.5708,0,0,link4,0,0,1,100,5,-1.74,1.74,,,,,,,,
link6,0.00586377457744311,0.00279283034634777,0.057640881586682,0,0,0,0.297734657028244,0.000271695365544578,-6.03787718315E-07,-1.78359176368329E-06,0.000159035071134233,2.74636108273963E-06,0.000189363658346074,0,0,0,0,0,0,package://piper_description/meshes/link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://piper_description/meshes/link6.STL,,末端2-1,6,基准轴6,joint6,revolute,0,-0.091,-0.02392,1.5708,0,0,link5,0,0,1,100,3,-2.0944,2.0944,,,,,,,,
